,wsi,mpp
0,PIT_01_01073_01.tiff,0.5
1,PIT_01_04037_01.tiff,0.5
2,PIT_01_09992_01.tiff,0.5
3,PIT_01_01711_01.tiff,0.5
4,PIT_01_00180_01.tiff,0.5
5,PIT_01_10423_01.tiff,0.5
6,PIT_01_05749_01.tiff,0.5
7,PIT_01_06173_01.tiff,0.5
8,PIT_01_04185_01.tiff,0.5
9,PIT_01_08396_01.tiff,0.5
10,PIT_01_04466_01.tiff,0.5
11,PIT_01_09254_01.tiff,0.5
12,PIT_01_01075_01.tiff,0.5
13,PIT_01_10432_01.tiff,0.5
14,PIT_01_03317_01.tiff,0.5
15,PIT_01_03028_01.tiff,0.5
16,PIT_01_10254_01.tiff,0.5
17,PIT_01_06155_01.tiff,0.5
18,PIT_01_01631_01.tiff,0.5
19,PIT_01_07342_01.tiff,0.5
20,PIT_01_04588_01.tiff,0.5
21,PIT_01_04491_01.tiff,0.5
22,PIT_01_01370_01.tiff,0.5
23,PIT_01_10182_01.tiff,0.5
24,PIT_01_03616_01.tiff,0.5
25,PIT_02_00087_01.tiff,0.5
26,PIT_01_00740_01.tiff,0.5
27,PIT_01_05205_01.tiff,0.5
28,PIT_01_10347_01.tiff,0.5
29,PIT_01_08351_01.tiff,0.5
30,PIT_01_01787_01.tiff,0.5
31,PIT_01_09015_01.tiff,0.5
32,PIT_01_02998_01.tiff,0.5
33,PIT_01_04262_01.tiff,0.5
34,PIT_01_08433_01.tiff,0.5
35,PIT_01_02035_01.tiff,0.5
36,PIT_02_00296_01.tiff,0.5
37,PIT_01_00299_01.tiff,0.5
38,PIT_01_03950_01.tiff,0.5
39,PIT_01_07234_01.tiff,0.5
40,PIT_01_01305_01.tiff,0.5
41,PIT_01_08254_01.tiff,0.5
42,PIT_01_00293_01.tiff,0.5
43,PIT_01_02131_01.tiff,0.5
44,PIT_01_02129_01.tiff,0.5
45,PIT_01_09195_01.tiff,0.5
46,PIT_01_00309_01.tiff,0.5
47,PIT_01_06994_01.tiff,0.5
48,PIT_01_07991_01.tiff,0.5
49,PIT_02_00231_01.tiff,0.5
50,PIT_03_00576_01.tiff,0.5
51,PIT_01_05160_01.tiff,0.5
52,PIT_01_04035_01.tiff,0.5
53,PIT_01_08781_01.tiff,0.5
54,PIT_01_04534_01.tiff,0.5
55,PIT_01_05135_01.tiff,0.5
56,PIT_01_08965_01.tiff,0.5
57,PIT_01_10109_01.tiff,0.5
58,PIT_01_00397_01.tiff,0.5
59,PIT_01_08502_01.tiff,0.5
60,PIT_01_10361_03.tiff,0.5
61,PIT_01_00381_01.tiff,0.5
62,PIT_01_01701_01.tiff,0.5
63,PIT_01_03286_01.tiff,0.5
64,PIT_01_05965_01.tiff,0.5
65,PIT_01_02717_01.tiff,0.5
66,PIT_01_08610_01.tiff,0.5
67,PIT_01_08401_01.tiff,0.5
68,PIT_01_07339_01.tiff,0.5
69,PIT_01_08526_01.tiff,0.5
70,PIT_01_06716_01.tiff,0.5
71,PIT_03_00414_01.tiff,0.5
72,PIT_01_02853_01.tiff,0.5
73,PIT_01_03630_01.tiff,0.5
74,PIT_01_09785_01.tiff,0.5
75,PIT_01_09289_01.tiff,0.5
76,PIT_01_05703_01.tiff,0.5
77,PIT_01_04151_01.tiff,0.5
78,PIT_01_09957_02.tiff,0.5
79,PIT_01_00345_01.tiff,0.5
80,PIT_01_02953_01.tiff,0.5
81,PIT_01_05392_01.tiff,0.5
82,PIT_01_04114_01.tiff,0.5
83,PIT_01_03299_01.tiff,0.5
84,PIT_01_06706_01.tiff,0.5
85,PIT_01_04762_01.tiff,0.5
86,PIT_01_08627_01.tiff,0.5
87,PIT_01_00241_01.tiff,0.5
88,PIT_01_01166_01.tiff,0.5
89,PIT_01_09540_01.tiff,0.5
90,PIT_01_05140_01.tiff,0.5
91,PIT_01_07856_01.tiff,0.5
92,PIT_01_00365_01.tiff,0.5
93,PIT_01_01734_01.tiff,0.5
94,PIT_04_00200_01.tiff,0.5
95,PIT_01_04888_01.tiff,0.5
96,PIT_01_02902_01.tiff,0.5
97,PIT_01_00131_01.tiff,0.5
98,PIT_01_04568_01.tiff,0.5
99,PIT_01_03628_01.tiff,0.5
100,PIT_01_03940_01.tiff,0.5
101,PIT_01_07930_01.tiff,0.5
102,PIT_01_07998_01.tiff,0.5
103,PIT_01_02914_01.tiff,0.5
104,PIT_01_08679_01.tiff,0.5
